tweet;tóxico;
La etiqueta, cabrón;1;
Hasta que un cabron trata a la lacra cómo se debe y todos se indignan;1;
La edad no la pones eh cabrón;1;
Y de un cabron solo puedes obtener cabronadas;1;
Eres más guiri que los irlandeses de aquí cabrón xD;1;
John23 cabron me cago en las putas hormigas de tu casa mmb;1;
Ya lo se cabron... Soy problema y solucion;1;
A cabron, de quién es esta casa?;1;
Que es eso cabron;1;
Amigo no seas cabron!!!!;1;
Alba “Este hijo de puta de Platini lo hicieron buenísimo, quien lo conoce!?”;1;
Si hay un animal al que llamar hijo de puta, sería a este... ;1;
Que hijo de puta se merece la muerte ;1;
Mafioso hijo de puta!;1;
Cállate hijo de puta ;1;
Otra vez este hijo de puta del supermercado tenía la coca sin gas;1;
Ladrón hijo de puta , a patadas vamos a sacarle;1;
Que hijo de puta! jajajaj ;1;
Semejante hijo de puta ese señor tiene guita para comprar 2 ingenios, y ahora está en quiebra? ;1;
responde hijo de puta;1;
TE QUIERO DISPARAR JODER, TODOS LOS PUTOS BESOS QUE NO PUDE DARTE HOSTIAS, TE QUIERO PUTO DISPARAR CADA MIERDA DE CARICIA QUE NO PUDE HACERTE JODER TE QUIERO HIJO DE PUTA, TE QUIERO PUTO DISPARARRRRR ;1;
Ojalá se muera tu mamá hijo de puta ;1;
"es Un día en Pamplona un señor me dijo ""agur"". EL MUY HIJO DE PUTA.";1;
patilla Que Coño nos importa donde este este hijo de puta!!!;1;
iluminado_33 Si pusieras la cara estarías muerto hijo de putA;1;
Mierdaseca de sonrisa traidora, catanazis.;1;
qué segunda opción mierdaseca si no tengo amigos;1;
a ver si le dan entre todos por culo al mierdaseca del coleta ;1;
Así que ese era el mierdaseca que hizo que Anakin se cambiase de bando. ;1;
 mierdaseca;1;
17 Pero con un ferrari hijo de puta, no con un honda mierdaseca;1;
Además están avisando que van a poner una versión similar a la venta en la tienda de CD Project, que no se gasten la fortuna que piden esos mierdaseca;1;
69 _Pride _setenta9 Fernando VII fue un mierdaseca de eso no hay duda, pero Pepe botella tampoco era ningún adalid de la justicia su único interés era convertir a España en una marioneta fue el rey mas odiado con razón. Una cosa no quita la otra.;1;
Lloraras tu cuando te llegue la denuncia MIERDASECA;1;
Lo que me faltaba por ver es al mierdaseca machista de Colate haciendo el drama cuando fijísimo que se ha tirado él solo únicamente para que a ella la tiren del programa. Vaya chusma. SVGala9;1;
"llegada. Para mí es una mala noticia que Pesic continúe al frente del Barca: sabe cómo parar a este Madrid de ""Mierdaseca"" Laso.";1;
lauucv_ Si sara deja de ser una mierdaseca y no se raja mejorr;1;
pais Por fin Madrid ha dejado de ser perroflauta.;1;
Iglesias_ Iglesios es un vividor igual que tu que si no fuera por la politica estariais en regional charlatan. que bien os va engañando a los perroflauta;1;
Cómprate una vida perroflauta;1;
Asco de periodismo y cadena perroflauta, miserables personajes;1;
También lo anulas por la pegatina del móvil, eso es de perroflauta;1;
_Córtale el pelo a ese perroflauta de mierda…;1;
Gracias! Soy de esos que lava el cerebro a los chavales. Me llaman el perroflauta roba mentes.;1;
Perroflauta, la definición de basura eres tú.;1;
tornado _ABASCAL Se nota que eres un triste perroflauta catalufo.;1;
Callate, perroflauta;1;
Tampoco te merezco empatia, perroflauta? Cuando vais a por los magrebies, chavista bolivarianos?;1;
una parguela que es famosa xq es influenser;1;
Tu que eres un parguela y seguramente un niñato el Valencia no hace mucho estaba en una situación muy parecida al celta, así que menos faltar al resto de aficionados inútil que es lo que sois así tenemos mestalla lleno de niñatos fuman porros y medio nazis;1;
Menudo parguela que te gane un minum;1;
Parguela vete ya que estábamos contentos pensando que te habías muerto;1;
"""El machete cuando se saca es para usarlo. El que lo saca para enseñar es un parguela"" ";1;
Pero si no has visto la serie parguela;1;
catala @_Ansoc Es que una protesta no puedes paralizar el país... Una protesta tú vas a la calle y dices lo que quieras SIN afectar a los DERECHOS de los demás. No puede ser q te tengan secuestrado en la carretera. Eso es hacer el parguela jodiendo a la gente sin legimitidad alguna.;1;
El chaval más parguela que te puedes echar en cara, 100% verídico;1;
Si tú no estabas parguela. ;1;
Pero qué dice este parguela??? ;1;
Ta resentido o subnormal. *5 minutos despues*.;1;
Menudo subnormal este tipejo de mierda;1;
"El compañero presidente opina otra cosa; Subnormal";1;
tornado _ABASCAL Subnormal;1;
Hernando Rafa, ¿eres subnormal?;1;
"MB98 ""Seguro que"" y luego unas risas, esas respuestas son de gilipollas, te vas silenciado por subnormal";1;
es El derecho a ser subnormal, dice?;1;
Jajajjaja... Que haya VAR y este undiano mallenco, hernandez hernandez, obrebo, Stark y Aytekin!!! Menudo subnormal estas hecho chaval!!!;1;
Beltraa Ya te dije ahí arriba que no estaba justificando el abandono jajajajaja te encanta desvirtuar lo que dice el otro a ver si ganas la discusión. Posta dedícate a la política porque podés ganar debates, hay mucho subnormal en podios;1;
griego82 Refiriéndome al subnormal del portavoz de voz;1;
Fran Pardo un subnormal y está muy bien que nadie lo dude;1;
Posss si hay gente tan subnormal qué crees que esa es manera de crecer;1;
seré subnormal pero no tengo un avatar de anime;1;
Sólo llevo 3 meses conduciendo y ya sé que amo conducir y que odio al subnormal que va pegado al culo del coche todo el camino. Separatecabrón 😒;1;
A ver subnormal, ¿por eso dices que hay que cerrarla? Mejor hacer como otros países europeos y creernos la radiotelevisión pública un poco más. No se consigue nada cerrando. Te lo dice un valenciano, que aquí nos quedamos sin rtv pública y fue un desastre.;1;
Algunos diciendo que son horribles , le tienen que gustar a el no a ti subnormal . Estan guapisimos kami a ver como te queda la manga cuando la acabes;1;
Que se puede esperar de una familia disfuncional, un padre alcohólico, una madre con hijos bastardos, un hijo subnormal y ahora esto ! En que manos estaba el país, y aún mucho idiota salen con su mamada que el alcohólico fue un gran presidente, no mamen;1;
"Acaba de llegarme un memento del Corpus ayer; resulta que una niña de 13 años empezó a insultarme llamándome subnormal, esto me da que pensar que, a lo mejor la sociedad avanza demasiado rápido, yo a esa edad ni le levantaba la mirada a alguien 4 años mayor; en fin...";1;
La playa es la solución pa todo;1;
En un lugar cerca de la playa, me gusta cómo huele. ;0;
tierra trágame y escúpeme donde haya sol, playa y arena;0;
Y cuando vas a la playa?;0;
Se ha quedaO día de playa ;0;Playa
si hay playa, hay alcohol ;0;
Todos esperándome en la playa y yo en mi cama;0;
ojalá celebrar mi santo en la playa al lado de una fogata con mis amigos nochedesanjuan;0;
El carabinero es muy muy potente. Sabe a “ahogadillas” en la playa cuando éramos chicos. A mar.;0;
no haré más nada.. q el tiempo diga todo;0;
Hola, después de tanto tiempo puedo decir que realmente estoy feliz.;0;
Tal vez fumando te encuentre en el tiempo y otra vez por mis ojos vuelvas a entrar como el sol;0;
Que haga lo que quiera.. Ya tendrá tiempo para arrepentirse. El que no esté comprometido mejor que no venga;0;
"Nikola Tesla y su Viaje en el Tiempo: ""Vi el pasado, el presente y el fu...  Vía";0;
Necesito de esos abrazos que te paran el tiempo y te hacen sentir en paz.;0;
Fuiste la forma más bonita de perder mi tiempo;0;
Heras Hace tiempo q Alves se fumó a Cafú y sobre todo a Lahm;0;
tienen wifi por antena para casa rural?;0;
Esta semana en recomendamos Casa Rural Lagar de Palacio en Santa Cilia Un lugar ideal para pasar unos días de diversión y aventura a la vez que de la tranquilidad que su entorno ofrece al estar situada a los pies del Río Aragón. La casa, de... ;0;
Sortean un fin de semana en Finca Goleta, otro en Casa Rural A Pasada y un vale de 40€ en actividades de . Tienes que participar en un Trivial que está disponible en todos los dispositivos a través del sitio web  sorteo. ;0;
Hoy disfrutamos del domingo desde un lugar ideal, descansando en medio de un ambiente que combina lo natural con el mundo rural 😍 ¡Hoy estamos en Casa Aurora! Fuerteventura 🌴 ;0;
cabrera mira lo que puedes comprar para la linda casa rural _;0;Casa Rural
Ayer casi se me cae la lagrimita porque mi madre me contó que organizando la comida con mi familia que vamos a ir a una casa rural, el menú era básicamente carne y ella estaba todo el rato a lo y una tortilla de patatas, o salmorejo, llevamos queso para tapear e.t.c.;0;
Ayer se llevó a cabo la entrega de pilones y acompañamiento de siembra en el municipio de Villa Nueva, Guatemala. Como parte del programa de extensionismo rural del Ministerio de Agricultura. En esta actividad participaron hombres y en su mayoría mujeres amas de casa. ;0;
si hija....casa rural…;0;
Casa Rural en Sariñena, Los Monegros, en Huesca. Hasta 12 plazas.  ;0;
quiero ir a ver toy story pero entre casa rural esto y lo otro no tengo dinero :(;0;
Yo soy la única persona y me gusta esta casa o la casa Rural que se ha quedado en la f de los récords;0;
Solicitada licencia de obra para Casa Rural en calle Castellanos. valdepeñas obras comercio;0;
Estoy de casa rural sin apenas internet y no puedo ver el concierto en Pinterest :(;0;
q el lunes me voy a una casa rural;0;
100 obras de arte que debes ver en vivo antes de morir ;0;
¡NUEVO VÍDEO! ¡Exposiciones de manga en Londres! ¡Y un poquito de arte urbano! ;0;
Sobre arte y política ;0;
tiene una mezcla de belleza con arte;0;
Para los que exigen pruebas de la utilidad social del arte ;0;Arte
Admiro el arte de ser mujer a tiempo completo...Ricardo Cosme. ;0;
Una obra de arte ;0;
no aprecian el arte;0;
Es un arte lo que hace;0;
Felicito al que hizo este arte;0;
Museo Nacional de Arte Romano, Merida Arquitecto Rafael Moneo, 1986 arquitectura architecture arte art escultura sculpture architecturephotography merida españa spain2019 en Mérida, Spain ;0;
Sserenita y un relato de vida. EL ARTE  ;0;
Cómo me gusta el arte con spray que no mancha las paredes ajenas!;0;
no tengas miedo de engancharte de nuestro amor hagamos arte;0;
"Bién por el Presidente,eso es Política ""El arte de lograr determinado fin""analicen. ";0;
Dos hermanos equilibristas cruzan Times Square por un cable a 25 pisos de altura ;0;
Los hermanos equilibristas Nik y Lijana Wallenda cruzan la neoyorquina plaza de Times Square caminando por un cable situado a unos 25 pisos de altura  ;0;
Entra desde la computadora, y conectala a internet por cable, asi te dejara entrar.;0;
"""Las chicas del Cable"" Es más que una serie.";0;
¿Radio por cable? ¿De verdad?;0;Cable
Es mi cable a tierra no hay dudas;0;
Te refieres a este cable? Si es así el clip 2 tiene ;0;
Necesitamos, 1.- espacio en Tv x cable o Tv abierta que hablen así de fútbol, 2.- un periodista que no de tantas vueltas con palabras rebuscadas haciéndose el súper letrado, claro conciso y preciso. 3.- que suban en redes todo un editorial para poder revisarlo. 👏🏻 ;0;
Belleza de Museo allí vi la obra de Goya;0;
Y quiero ir a un museo.;0;
El aula mañana se convertirá en un Museo;0;
Plantas criadas en botellas de plástico en Museo Nacional de Antropologia (Madrid) ;0;
Y los gestos del amor, ese dulce museo, esa galería de figuras de humo.;0;Museo
Quien me lleva al museo?;0;
zamora: Una empresa madrileña reparará el Museo Provincial de Bellas Artes  vía;0;
Me lo imaginé ... ese museo es fabuloso , ya fueron al nuevo ?;0;
Este tweet merece estar en un museo.;0;
justificas al museo de exponer lo que no es suyo?;0;
Pinacoteca de las más importantes del mundo...;0;
